TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-18 05:44:47,1771393487331,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131104,200,7jhc5-1771393487331-4824815bb322,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,101,iad1,259,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQMF4K81QP193NNPEZGXTGA,r4i4yuIRxHzf,1
2026-02-18 05:43:47,1771393427343,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131103,200,pmtc5-1771393427343-d7d84af2de3f,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,96,iad1,258,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQMDA0792JFY6E053Z6MASG,r4i4yuIRxHzf,1
2026-02-18 05:42:47,1771393367307,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131102,200,fhzfd-1771393367307-a4fe8f911535,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,97,iad1,258,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQMBFC5APK4C3WMJ0WFRJ49,r4i4yuIRxHzf,1
2026-02-18 05:41:47,1771393307282,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131101,200,fbql4-1771393307282-7f3e03fff18c,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,105,iad1,258,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM9MRF07DQRAE2A30APQ5Y,r4i4yuIRxHzf,1
2026-02-18 05:40:47,1771393247383,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131100,200,7jhc5-1771393247383-c9eace4ad886,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,169,iad1,257,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM7T8MY40MSQJMZJVT7Y5Y,r4i4yuIRxHzf,1
2026-02-18 05:40:22,1771393222152,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131099,200,rs2sj-1771393222152-60aa036a659e,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,167,iad1,256,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM71KZNC42SJYB577H40V7,r4i4yuIRxHzf,1
2026-02-18 05:40:07,1771393207131,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131098,200,djmj4-1771393207131-08bcc40db294,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,98,iad1,255,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM6JYJKG71PN9638CQCZCN,r4i4yuIRxHzf,1
2026-02-18 05:39:52,1771393192131,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131097,200,hkpjg-1771393192131-7558c2342392,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,165,iad1,254,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM649X6WY1N48CT7EHYT4X,r4i4yuIRxHzf,1
2026-02-18 05:39:37,1771393177133,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131096,200,s2l5c-1771393177133-b6aefe4e3db2,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,98,iad1,254,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM5NNB5MDEME1999VPHA28,r4i4yuIRxHzf,1
2026-02-18 05:39:22,1771393162168,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131095,200,cpsss-1771393162168-1154378eaae9,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,172,iad1,253,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM571FRNFTM5PE1V6V6YDA,r4i4yuIRxHzf,1
2026-02-18 05:39:13,1771393153469,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app/favicon/vegassweeps_logo.png,GET,,401,9p5xv-1771393153469-c5799d009f21,vercel-favicon/1.0,,production,master,,static,/favicon/vegassweeps_logo.png,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,2,sfo1,,,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,,,
2026-02-18 05:39:06,1771393146811,vegassweeps777.vercel.app/api/check-lead,GET,callback=jQuery36006416766672159364_1771393131093&_=1771393131094,200,b2h65-1771393146811-3bba9beb5817,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,MISS,function,/api/check-lead,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,108,iad1,260,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM4R2AX8DJHGZYX1T7N6WG,r4i4yuIRxHzf,1
2026-02-18 05:39:04,1771393144232,vegassweeps777.vercel.app/api/postback,GET,secret=s8d7f6g5h4j3k2l1,500,2tv76-1771393144025-6c74e49507d6,,error,production,master,MISS,function,/api/postback,vegassweeps777.vercel.app,vegassweeps777.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,,,,,[Postback] Firebase Init Error: Bad control character in string literal in JSON at position 181 (line 5 column 46),prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,,,
2026-02-18 05:39:04,1771393144025,vegassweeps777.vercel.app/api/postback,GET,secret=s8d7f6g5h4j3k2l1,500,2tv76-1771393144025-6c74e49507d6,,,production,master,MISS,function,/api/postback,vegassweeps777.vercel.app,vegassweeps777.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,40,iad1,233,2048,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,01KHQM4NBXRTMXP6H1Q54080NS,AvjctnPXJmXk,1
2026-02-18 05:38:54,1771393134065,vegassweeps777.vercel.app/pages/vegas-sweeps.html,HEAD,,204,rxvwh-1771393134065-f63be54e1fc6,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",,production,master,,static,/pages/vegas-sweeps.html,vegassweeps777.vercel.app,vegassweeps777-2026-hps8yio5u-chimotaka.vercel.app,dpl_9FXtFBRs4T3Pg72cmjpdRRHQKJm3,19,sin1,,,,prj_iW03tuKcotp2GxzBQbJrtnsIq8rF,,,,,
